표준코드,발행금액,bookrunners,bkr_parts,comanagers,cmgr_parts
KR6005272A37,"100,000,000,000",['교보증권'],"['100,000']",[],[]
KR6005271A46,"100,000,000,000",['교보증권'],"['100,000']",[],[]
KR6005271A53,"100,000,000,000",['교보증권'],"['100,000']",[],[]
KR6005271A79,"100,000,000,000",['하나금융투자'],"['100,000']",[],[]
KR6005272A78,"50,000,000,000",['교보증권'],"['50,000']",[],[]
KR6000012A66,"150,000,000,000",['하나금융투자'],"['149,190,000,000']",[],[]
KR6000011A75,"300,000,000,000",['하나금융투자'],"['297,600,000,000']",[],[]
KR6000011A91,"70,000,000,000",['하나금융투자'],"['140,000,000,000']",[],[]
KR6000012A90,"70,000,000,000",['하나금융투자'],"['140,000,000,000']",[],[]
KR6003671A62,"110,000,000,000",['한국투자증권'],"['5,000,000,000']",[],[]
KR6003672A61,"100,000,000,000","['케이비증권', 'NH투자증권']","['35,000,000,000', '50,000,000,000']","['한국투자증권', '대신증권']","['5,000,000,000', '10,000,000,000']"
KR6000211A57,"120,000,000,000","['NH투자증권', 'KB증권']","['20,000,000,000', '100,000,000,000']",[],[]
KR6000212A56,"80,000,000,000",['NH투자증권'],"['80,000,000,00']",[],[]
KR6007161A60,"20,000,000,000",['한국산업은행'],"['8,000,000,000']",[],[]
KR6008271A40,"160,000,000,000",['한양증권'],"['10,000,000,000']","['이베스트투자증권', '케이티비투자증권']","['50,000,000,000', '100,000,000,0000']"
KR6000081A62,"100,000,000,000","['NH투자증권', 'SK증권']","['10,000,000,000', '40,000,000,000']","['신한금융투자', '신영증권', '미래에셋대우']","['17,000,000,000', '17,000,000,000', '16,000,000,000']"
KR6000082A61,"48,000,000,000",['KB증권'],"['18,000,000,000']",[],[]
KR6005382A59,"130,000,000,000","['NH투자증권', 'KB증권', '미래에셋대우']","['60,000,000,000', '120,000,000,000', '70,000,000,000']","['현대차증권', '하이투자증권', '한국투자증권', '신한금융투자']","['50,000,000,000', '30,000,000,000', '30,000,000,000', '30,000,000,000']"
KR6005383A58,"80,000,000,000",['현대차증권'],"['30,000,000,000']",[],[]
